tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2016-01-25,4035,CORDOBA Nº 05,Córdoba,Protocolo 21,2016,82,PICK-UP CABINA DOBLE,044,FIAT,714,STRADA ADVENTURE 1.6,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1980,ARGENTINA,100,14,200
COMUNICACIÓN DE RECUPERO,2026-01-02,1993-02-12,4038,CORDOBA Nº 07,Córdoba,Nacional,1993,22,FURGON,37,RENAULT,37,TRAFIC,1,Privado,Física,CORDOBA.-,CORDOBA,No identificado,1967,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2009-01-05,4062,CORDOBA Nº 19,Córdoba,Protocolo 21,2009,05,SEDAN 5 PUERTAS,127,SUZUKI,706,FUN 1.4,1,Privado,Física,CORDOBA,CORDOBA,Femenino,2005,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2011-02-17,4069,RIO CEBALLOS,Córdoba,Protocolo 21,2011,02,SEDAN 4 PTAS,104,PEUGEOT,586,207 COMPACT XS 1.4,1,Privado,Física,UNQUILLO,CORDOBA,Masculino,1958,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2000-05-26,4078,CORDOBA Nº 24,Córdoba,Nacional,2000,18,SEDAN 3 PTAS,17,FIAT,72,PALIO S 1.3 MPI 3P,1,Privado,Física,CORDOBA,CORDOBA,Femenino,2001,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2006-04-17,4079,JESUS MARIA Nº 3,Córdoba,Protocolo 21,2006,11,PICK UP,024,CHEVROLET,394,S10 2.8TDI LIMITED 4X4 CAB.DOBLE,1,Privado,Física,JESÚS MARÍA,CORDOBA,Femenino,1974,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2021-11-24,9001,CLORINDA,Formosa,Nacional,2021,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1,Privado,Física,CLORINDA,FORMOSA,Femenino,1992,ARGENTINA,100,34,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2014-01-22,13002,MENDOZA Nº 02,Mendoza,Nacional,2014,12,SEDAN 4 PUERTAS,37,RENAULT,WU,FLUENCE 2.0 16V LUXE,1,Privado,Física,VILLA NUEVA,MENDOZA,Masculino,1991,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1993-10-27,13010,MENDOZA Nº 04,Mendoza,Nacional,1993,12,SEDAN 4 PUERTAS,37,RENAULT,81,R-12 TL (MOTOR 1.6),1,Privado,Física,LOS CORRALITOS,MENDOZA,Masculino,1957,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1999-07-27,13010,MENDOZA Nº 04,Mendoza,Protocolo 21,1999,11,PICK UP,047,FORD,266,F-100 4X2,1,Privado,Física,LOS CORRALITOS,MENDOZA,Masculino,1983,BOLIVIA,100,50,202
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2004-07-20,13020,MENDOZA Nº 12,Mendoza,Nacional,2004,18,SEDAN 3 PTAS,08,CHEVROLET,BF,CORSA CLASSIC 3P AA+DIR+CD 1.6,1,Privado,Física,CIUDAD,MENDOZA,Masculino,1988,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2020-07-07,1005,AVELLANEDA Nº 2,Buenos Aires,Nacional,2020,17,SEDAN 5 PUERTAS,37,RENAULT,3V,SANDERO PH2 LIFE 1.6,1,Privado,Física,SARANDÍ,BUENOS AIRES,Femenino,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-02-17,13030,MENDOZA Nº 18,Mendoza,Protocolo 21,2012,22,SEDAN 3 PUERTAS,044,FIAT,715,PALIO 1.4,1,Privado,Física,EL RESGUARDO,MENDOZA,Masculino,1993,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2021-12-01,1032,GENERAL ARENALES,Buenos Aires,Nacional,2021,17,SEDAN 5 PUERTAS,34,PEUGEOT,RA,208 LIKE PACK 1.6L,1,Privado,Física,ASCENSION,BUENOS AIRES,Femenino,1995,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1996-04-09,13032,MAIPU Nº 2,Mendoza,Nacional,1996,12,SEDAN 4 PTAS,37,RENAULT,AB,RENAULT 9 RL,1,Privado,Física,COQUIMBITO - MAIPU,MENDOZA,No identificado,1976,ARGENTINA,100,50,200
